epoch,epoch_dates,point_entry,country,numSchedArrivals,numTestsPerformed,numPositivesFound,numTestsAlloc
1,2020-08-06/2020-08-07,Entry_1,BG,6356,974,2,4462
1,2020-08-06/2020-08-07,Entry_1,CZ,32,0,0,0
1,2020-08-06/2020-08-07,Entry_1,DE,432,0,0,0
1,2020-08-06/2020-08-07,Entry_1,GR,54,16,0,54
1,2020-08-06/2020-08-07,Entry_1,HU,198,48,0,198
1,2020-08-06/2020-08-07,Entry_1,MD,102,52,0,102
1,2020-08-06/2020-08-07,Entry_1,MK,50,18,0,50
1,2020-08-06/2020-08-07,Entry_1,Other,238,42,0,120
1,2020-08-06/2020-08-07,Entry_1,PL,50,0,0,0
1,2020-08-06/2020-08-07,Entry_1,RO,3422,874,6,2304
1,2020-08-06/2020-08-07,Entry_1,RS,66,36,0,66
1,2020-08-06/2020-08-07,Entry_1,SK,30,10,0,30
1,2020-08-06/2020-08-07,Entry_1,TR,34,14,0,34
1,2020-08-06/2020-08-07,Entry_1,UA,60,42,0,60
1,2020-08-06/2020-08-07,Entry_10,AT,418,0,0,0
1,2020-08-06/2020-08-07,Entry_10,BE,616,394,0,616
1,2020-08-06/2020-08-07,Entry_10,CH,162,0,0,0
1,2020-08-06/2020-08-07,Entry_10,CY,28,0,0,0
1,2020-08-06/2020-08-07,Entry_10,CZ,1186,54,0,548
1,2020-08-06/2020-08-07,Entry_10,DE,2478,0,0,0
1,2020-08-06/2020-08-07,Entry_10,DK,230,100,0,230
1,2020-08-06/2020-08-07,Entry_10,EE,38,12,0,38
1,2020-08-06/2020-08-07,Entry_10,FR,202,0,0,0
1,2020-08-06/2020-08-07,Entry_10,GB,2036,0,0,0
1,2020-08-06/2020-08-07,Entry_10,GR,50,38,0,50
1,2020-08-06/2020-08-07,Entry_10,HU,592,0,0,0
1,2020-08-06/2020-08-07,Entry_10,IT,1114,0,0,0
1,2020-08-06/2020-08-07,Entry_10,LU,34,0,0,0
1,2020-08-06/2020-08-07,Entry_10,LV,112,8,0,112
1,2020-08-06/2020-08-07,Entry_10,NL,1416,0,0,0
1,2020-08-06/2020-08-07,Entry_10,Other,146,98,0,134
1,2020-08-06/2020-08-07,Entry_10,PL,4136,132,0,528
